"מס""ד",שם המוצר,תיאור,מתי להמליץ עליו,קישור למוצר
1,פד לניקוי פרקט,פד ייעודי לניקוי פרקטים.,לשמירה על ניקיון הפרקט.,https://iroko.pomo.co.il/product/wood-floor-cleaning-pad/
2,ערכת תיקון פרקט,ערכת תיקון לשריטות ונזקים קלים בפרקט.,לתיקון שריטות ונזקים קלים בפרקט.,https://iroko.pomo.co.il/product/parquet-scratch-fix-kit/
3,גליוטינה לחיתוך פרקט,כלי לחיתוך מדויק של פרקטים.,בעת התקנת פרקטים.,https://iroko.pomo.co.il/product/parquet-guillotine-cutter/
4,מד זווית מתכוונן,כלי למדידת זוויות בהתקנת פרקטים.,להתקנה מדויקת של פרקטים.,https://iroko.pomo.co.il/product/adjustable-angle-meter/
5,ערכת התקנה לפרקט,ערכת כלים להתקנה מהירה ופשוטה של פרקט.,להתקנה עצמית של פרקטים.,https://iroko.pomo.co.il/product/parquet-installation-kit/
6,מרווחונים וקלינים לפרקט,חבילה של 40 יחידות מרווחונים וקלינים.,להבטחת רווחים מדויקים בין לוחות הפרקט.,https://iroko.pomo.co.il/product/parquet-spacers-and-wedges/
7,פד לניקוי אבק מפרקט,פד ייעודי לניקוי אבק מפרקטים.,לשמירה על ניקיון הפרקט.,https://iroko.pomo.co.il/product/wood-floor-dust-pad/
8,גלגלים לכסא משרדי לפרקט,גלגלים מיוחדים לכסאות משרדיים המותאמים לפרקט.,למניעת שריטות ונזקים בפרקט.,https://iroko.pomo.co.il/product/office-chair-wheels-for-parquet/
9,דבק בנקניק לפרקטים,דבק מיוחד לפרקטים במיכל נקניק.,להדבקת פרקטים בצורה מקצועית.,https://iroko.pomo.co.il/product/parquet-sausage-adhesive/
10,דבק ייחודי לפרקט 14KG BOSTIK,"דבק איכותי של חברת BOSTIK במשקל 14 ק""ג.",להדבקת פרקטים בצורה מקצועית.,https://iroko.pomo.co.il/product/bostik-parquet-adhesive-14kg/
11,דבק עמיד לפאנל פולימר,דבק קל ליישום ולניקוי לפאנלים פולימריים.,להתקנת פאנלים פולימריים.,https://iroko.pomo.co.il/product/polymer-panel-adhesive/
12,מסיר צבע ולכלוכים קשים,חומר להסרת צבע ולכלוכים קשים ממשטחים.,לניקוי עמוק של פרקטים.,https://iroko.pomo.co.il/product/blanchon-paint-remover/
13,ספריי הפלא,ספריי להסרת שאריות צבע ודבק ללא פגיעה בפרקט.,לניקוי שאריות לאחר התקנה או שיפוץ.,https://iroko.pomo.co.il/product/magic-spray-paint-remover/
14,פד ליישום פוליש לפרקט,פד ייעודי ליישום פוליש על פרקטים.,לחידוש והברקת הפרקט.,https://iroko.pomo.co.il/product/polish-application-pad/
15,אקדח דבק לפרקטים,אקדח מקצועי ליישום דבק בפרקטים.,להתקנה מקצועית של פרקטים.,https://iroko.pomo.co.il/product/parquet-adhesive-gun/
